Atividade,Estágio,Perfil_Favorecido,Tempo_Medio_Min,Materiais,Formato,Complexidade,Descrição
Simulação de Conflito,EC,Acomodador,30,Cenários impressos,Presencial,Média,"Participantes encenam situação de conflito real"
Roleplay Básico,EC,Acomodador,20,Scripts de situação,Presencial,Baixa,"Encenação de situação específica em duplas"
Dinâmica de Icebreaker,EC,Divergente,15,Nenhum,Presencial,Baixa,"Atividade lúdica para quebrar o gelo"
Análise de Caso Real,EC,Convergente,25,Caso impresso ou projetado,Híbrido,Média,"Análise de situação real documentada"
Vídeo Impactante,EC,Divergente,10,Projetor e vídeo,Híbrido,Baixa,"Exibição de vídeo curto que gera emoção"
Demonstração Prática,EC,Convergente,20,Materiais específicos,Presencial,Média,"Facilitador demonstra técnica ou processo"
Shadowing,EC,Acomodador,45,Ambiente real,Presencial,Alta,"Acompanhar profissional experiente"
Experimento Hands-on,EC,Acomodador,30,Materiais de laboratório,Presencial,Alta,"Experiência prática com materiais reais"
Gamificação/Quiz Inicial,EC,Divergente,15,App ou cartões,Híbrido,Baixa,"Quiz gamificado para engajar no tema"
Estudo de Erro,EC,Convergente,20,Documentação de falha,Híbrido,Média,"Análise de falha real ocorrida"
Debriefing Estruturado,OR,Divergente,30,Flipchart,Presencial,Média,"Discussão guiada pós-experiência"
Roda de Conversa,OR,Divergente,25,Cadeiras em círculo,Presencial,Baixa,"Discussão aberta sobre experiências"
Journaling Individual,OR,Assimilador,15,Papel e caneta,Híbrido,Baixa,"Escrita reflexiva individual"
Feedback em Duplas,OR,Divergente,20,Guia de feedback,Presencial,Média,"Troca de feedback estruturado"
Perguntas Socráticas,OR,Assimilador,20,Nenhum,Híbrido,Média,"Facilitador guia reflexão com perguntas"
Análise de Perspectivas,OR,Divergente,25,Flipchart,Presencial,Média,"Mapear diferentes visões sobre o tema"
Mapa de Sentimentos,OR,Divergente,15,Post-its coloridos,Presencial,Baixa,"Identificar emoções associadas à experiência"
Discussão em Pequenos Grupos,OR,Divergente,20,Nenhum,Presencial,Baixa,"Grupos de 3-5 discutem a experiência"
Fishbowl Discussion,OR,Assimilador,30,Cadeiras em círculos,Presencial,Alta,"Discussão observada por grupo externo"
Análise SWOT Pessoal,OR,Assimilador,25,Template SWOT,Híbrido,Média,"Reflexão estruturada sobre pontos fortes/fracos"
Aula Expositiva,CA,Assimilador,45,Slides e projetor,Híbrido,Média,"Apresentação teórica estruturada"
Leitura de Artigo,CA,Assimilador,20,Artigo impresso ou digital,Híbrido,Baixa,"Leitura individual de material teórico"
Apresentação de Framework,CA,Assimilador,30,Slides e flipchart,Híbrido,Média,"Introdução de modelo conceitual"
Mapa Mental,CA,Assimilador,25,Papel grande ou Miro,Híbrido,Média,"Construção visual de conceitos"
Infográfico Explicativo,CA,Assimilador,15,Infográfico impresso,Híbrido,Baixa,"Visualização de conceitos-chave"
Comparação Teoria x Prática,CA,Convergente,20,Casos comparativos,Híbrido,Média,"Conectar teoria à experiência vivida"
Vídeo Educativo,CA,Assimilador,15,Projetor e vídeo,Híbrido,Baixa,"Vídeo explicativo sobre conceitos"
Estudo de Modelos,CA,Assimilador,30,Documentação,Híbrido,Alta,"Análise aprofundada de modelos teóricos"
Podcast/Áudio Educativo,CA,Assimilador,15,Áudio e fones,Online,Baixa,"Conteúdo auditivo para conceituação"
Resumo Estruturado,CA,Assimilador,20,Template de resumo,Híbrido,Baixa,"Síntese dos principais conceitos"
Roleplay Aplicado,EA,Convergente,30,Cenários e roteiros,Presencial,Média,"Praticar nova técnica em situação simulada"
Projeto em Grupo,EA,Acomodador,60,Materiais variados,Presencial,Alta,"Desenvolvimento de projeto prático"
Plano de Ação Individual,EA,Convergente,20,Template de plano,Híbrido,Baixa,"Cada participante cria seu plano"
Simulação Avançada,EA,Convergente,45,Cenário complexo,Presencial,Alta,"Simulação realista com múltiplas variáveis"
Checklist de Aplicação,EA,Convergente,15,Checklist impresso,Híbrido,Baixa,"Verificação prática de conformidade"
Prototipagem Rápida,EA,Acomodador,40,Materiais de prototipagem,Presencial,Alta,"Criar protótipo de solução"
Desafio em Equipe,EA,Acomodador,45,Briefing do desafio,Presencial,Alta,"Competição construtiva entre equipes"
Mentoria em Pares,EA,Convergente,30,Guia de mentoria,Presencial,Média,"Prática guiada com colega experiente"
Apresentação de Soluções,EA,Acomodador,25,Flipchart,Presencial,Média,"Grupos apresentam soluções desenvolvidas"
Aplicação em Caso Real,EA,Convergente,45,Caso real do trabalho,Presencial,Alta,"Aplicar técnica em situação real da empresa"
World Café,EC+OR,Divergente,45,Mesas e flip,Presencial,Média,"Rodadas de discussão em mesas temáticas"
Design Thinking Sprint,EC+EA,Acomodador,90,Kit de prototipagem,Presencial,Alta,"Mini sprint de design thinking"
Debate Estruturado,OR+CA,Assimilador,40,Regras de debate,Presencial,Alta,"Debate formal sobre tema controverso"
Laboratório de Práticas,CA+EA,Convergente,60,Materiais de lab,Presencial,Alta,"Aplicação de conceitos em ambiente controlado"
